Block,BlockImagineTime,Prompt,Object,Rate,Rate_RT,Question_Resp,Question_CorAnswer,Question_RT
1,4,a yellow trumpet,trumpet,3,2.74020259996178,YES,YES,2.37495490000583
1,4,a green cabbage,cabbage,3,2.4215498000267,YES,YES,1.86824979999801
1,4,an orange pumpkin,pumpkin,5,2.08534789999248,YES,YES,1.82798260002164
1,4,a black clock,clock,5,1.97217720001936,NO,NO,2.24960550002288
1,4,a grey bowl,bowl,4,2.60370839998359,NO,NO,1.99876760004554
1,4,a green lizard,lizard,4,3.11261930002365,YES,YES,1.85187859996222
1,4,a black pan,pan,4,2.92439519998152,NO,NO,3.95048810000299
1,4,a yellow pineapple,pineapple,5,2.65728419995867,YES,YES,1.83006809995277
1,4,a grey squirrel,squirrel,5,2.77913350000745,NO,NO,2.7892700000084
1,4,a red bus,bus,5,2.8383376999991,NO,NO,3.63540470000589
1,4,a yellow sunflower,sunflower,5,2.12408199999481,NO,NO,3.12332710000919
1,4,a red strawberry,strawberry,5,2.27696479996666,NO,NO,3.5478165000095
1,4,a blue helicopter,helicopter,5,3.51348619995406,NO,NO,1.98783610004466
1,4,a brown backpack,backpack,5,3.24193359998753,NO,NO,2.7395101999864
1,4,a brown bench,bench,5,3.19841130002169,NO,NO,2.81090039998526
1,4,a black train,train,4,4.66843249998055,NO,NO,2.17521069996292
