Block,BlockRecallTime,TargetPrompt,TargetObject,TargetOrder,DistractObject,Question_CorIMG,Question_Resp,Question_RT
1,4,a black truck,truck,2,laptop,8,YES,35.5234238000121
1,4,a grey coat,coat,2,donkey,10,YES,66.5634935999988
1,4,a black laptop,laptop,2,truck,10,NO,7.83621480001602
1,4,a silver spoon,spoon,2,fork,8,YES,8.17799070000183
1,4,a purple tulip,tulip,2,towel,6,NO,2.47944260004442
1,4,an orange sofa,sofa,2,fish,10,YES,1.73386849998496
1,4,a yellow hat,hat,1,glove,8,NO,3.08616760000587
1,4,an orange fish,fish,1,sofa,8,NO,2.07045380002819
1,4,a red scarf,scarf,1,balloon,8,NO,1.15794649999589
1,4,a grey elephant,elephant,1,rock,8,NO,1.02193599997554
1,4,a purple crystal,crystal,2,tulip,8,NO,1.47792690002825
1,4,a yellow pencil,pencil,1,glove,8,NO,1.80833819997497
1,4,a green broccoli,broccoli,2,turtle,10,NO,4.10140539996792
1,4,a blue umbrella,umbrella,1,bike,10,YES,4.11802039993927
1,4,a black camera,camera,1,wallet,8,NO,1.55060509999748
1,4,a blue door,door,2,bike,8,NO,1.1999260999728
1,4,a green turtle,turtle,2,frog,10,YES,1.96049359999597
1,4,a red apple,apple,2,candle,10,YES,1.20877499994822
1,4,a green broccoli,broccoli,2,frog,6,NO,1.2151162000373
1,4,a silver watch,watch,1,spoon,6,YES,2.21882029995322
1,4,an orange sofa,sofa,2,fish,6,NO,3.88461390009616
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
NaN,,,,,,,,NaN
