Color,ObjectPrompt,Object,Animacy,Category
black,a black belt,belt,Inanimate,Cloth
black,a black bear,bear,Animate,Animal
black,a black truck,truck,Inanimate,Vechile
black,a black camera,camera,Inanimate,Tool
blue,a blue butterfly,butterfly,Animate,Animal
blue,a blue cup,cup,Inanimate,Tool
blue,a blue umbrella,umbrella,Inanimate,Tool
blue,a blue bike,bike,Inanimate,Vechile
brown,a brown horse,horse,Animate,Animal
brown,a brown jacket,jacket,Inanimate,Cloth
brown,a brown coconut,coconut,Inanimate,Food
brown,a brown guitar,guitar,Inanimate,Tool
green,a green lettuce,lettuce,Inanimate,Food
green,a green frog,frog,Animate,Animal
green,a green turtle,turtle,Animate,Animal
green,a green cucumber,cucumber,Inanimate,Food
grey,a grey mouse,mouse,Animate,Animal
grey,a grey pigeon,pigeon,Animate,Animal
grey,a grey elephant,elephant,Animate,Animal
grey,a grey donkey,donkey,Animate,Animal
orange,an orange carrot,carrot,Inanimate,Food
orange,an orange cat,cat,Animate,Animal
orange,an orange basketball,basketball,Inanimate,Tool
orange,an orange fish,fish,Animate,Animal
purple,a purple eggplant,eggplant,Inanimate,Food
purple,a purple onion,onion,Inanimate,Food
purple,a purple tulip,tulip,Inanimate,Plant
purple,a purple crystal,crystal,Inanimate,Other
red,a red apple,apple,Inanimate,Food
red,a red cap,cap,Inanimate,Cloth
red,a red chilli,chilli,Inanimate,Food
red,a red candle,candle,Inanimate,Tool
silver,a silver spoon,spoon,Inanimate,Tool
silver,a silver watch,watch,Inanimate,Cloth
silver,a silver kettle,kettle,Inanimate,Tool
silver,a silver coin,coin,Inanimate,Other
yellow,a yellow banana,banana,Inanimate,Food
yellow,a yellow duck,duck,Animate,Animal
yellow,a yellow pencil,pencil,Inanimate,Tool
yellow,a yellow lemon,lemon,Inanimate,Food
black,a black chimpanzee,chimpanzee,Animate,Animal
yellow,a yellow chick,chick,Animate,Animal
grey,a grey ladder,ladder,Inanimate,Tool
black,a black telephone,telephone,Inanimate,Tool
grey,a grey stapler,stapler,Inanimate,Tool
