Color,ObjectPrompt,Object,CatchQuestion,CorrectAnswer,Animacy,Category
black,a black belt,belt,Is it a cloth?,YES,Inanimate,Cloth
black,a black bear,bear,Is it an animal?,YES,Animate,Animal
black,a black truck,truck,Is it a cloth?,NO,Inanimate,Vechile
black,a black camera,camera,Is it a food?,NO,Inanimate,Tool
blue,a blue butterfly,butterfly,Is it a tool?,NO,Animate,Animal
blue,a blue cup,cup,Is it a food?,NO,Inanimate,Tool
blue,a blue umbrella,umbrella,Is it an animal?,NO,Inanimate,Tool
blue,a blue bike,bike,Is it a cloth?,NO,Inanimate,Vechile
brown,a brown horse,horse,Is it an animal?,YES,Animate,Animal
brown,a brown jacket,jacket,Is it a cloth?,YES,Inanimate,Cloth
brown,a brown coconut,coconut,Is it a food?,YES,Inanimate,Food
brown,a brown guitar,guitar,Is it an animal?,NO,Inanimate,Tool
green,a green lettuce,lettuce,Is it a food?,YES,Inanimate,Food
green,a green frog,frog,Is it an animal?,YES,Animate,Animal
green,a green turtle,turtle,Is it an animal?,YES,Animate,Animal
green,a green cucumber,cucumber,Is it a food?,YES,Inanimate,Food
grey,a grey mouse,mouse,Is it an animal?,YES,Animate,Animal
grey,a grey pigeon,pigeon,Is it an animal?,YES,Animate,Animal
grey,a grey elephant,elephant,Is it a furniture?,NO,Animate,Animal
grey,a grey donkey,donkey,Is it a cloth?,NO,Animate,Animal
orange,an orange carrot,carrot,Is it a food?,YES,Inanimate,Food
orange,an orange cat,cat,Is it an animal?,YES,Animate,Animal
orange,an orange basketball,basketball,Is it a food?,NO,Inanimate,Tool
orange,an orange fish,fish,Is it a furniture?,NO,Animate,Animal
purple,a purple eggplant,eggplant,Is it a food?,YES,Inanimate,Food
purple,a purple onion,onion,Is it a food?,YES,Inanimate,Food
purple,a purple tulip,tulip,Is it an animal?,NO,Inanimate,Plant
purple,a purple crystal,crystal,Is it an animal?,NO,Inanimate,Other
red,a red apple,apple,Is it a food?,YES,Inanimate,Food
red,a red cap,cap,Is it a cloth?,YES,Inanimate,Cloth
red,a red chilli,chilli,Is it a cloth?,NO,Inanimate,Food
red,a red candle,candle,Is it a cloth?,NO,Inanimate,Tool
silver,a silver spoon,spoon,Is it a tool?,YES,Inanimate,Tool
silver,a silver watch,watch,Is it a animal?,NO,Inanimate,Cloth
silver,a silver kettle,kettle,Is it a cloth?,NO,Inanimate,Tool
silver,a silver coin,coin,Is it a food?,NO,Inanimate,Other
yellow,a yellow banana,banana,Is it a food?,YES,Inanimate,Food
yellow,a yellow duck,duck,Is it an animal?,YES,Animate,Animal
yellow,a yellow pencil,pencil,Is it a food?,NO,Inanimate,Tool
yellow,a yellow lemon,lemon,Is it an animal?,NO,Inanimate,Food
black,a black chimpanzee,chimpanzee,Is it an animal?,YES,Animate,Animal
yellow,a yellow chick,chick,Is it a cloth?,NO,Animate,Animal
grey,a grey ladder,ladder,Is it an animal?,NO,Inanimate,Tool
black,a black telephone,telephone,Is it a food?,NO,Inanimate,Tool
grey,a grey stapler,stapler,Is it a furniture?,NO,Inanimate,Tool
