condition,sentence,trigger,trigger224,trigger225,trigger226,trigger227,trigger228,trigger229,trigger230,trigger231,taskQuestion,correctAnswer,word_trigger,trigger224w,trigger225w,trigger226w,trigger227w,trigger228w,trigger229w,trigger230w,trigger231w
in-situ.63,هو كانت الرسامه المبدعة بترسم ايه في المسابقة المدرسية؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.65,هو كان الولد الشقي بيكسر ايه في أوضة اللعب؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.67,هو كان التاجر الغني بيشتري ايه من سوق الذهب؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.68,هو كان الطباخ المحترف بيجهز ايه في مطبخ الجديد؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.69,هو كان المغني المشهور بيغنى ايه في الحفلة النهردة؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.70,هو كان الدكتورالمشغول بيعالج ايه في عيادة العظام؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.73,هو كان الولد الصغير بيشتري ايه من الدكان العصر؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.74,هو كان الكهربائي الكويس بيصلح ايه في محل الالكترونيات؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.75,هو كان المدرب العطشان بيشرب ايه في ملعب الكوره؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.76,هو كانت المعلمة الذكية بتقرة ايه في المكتبه الهادية؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.77,هو كان الولد الكسلان بيتابع ايه على تلفزيون الصالة؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.78,هو كان المصور الفنان بيصور ايه علي مسرح القاعة؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.79,هو كان الرسام المحترف بيرسم ايه علي الحطان القديمة؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.80,هو كان التاجر النصاب يبيع ايه في سوق الخضار؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.82,هو كانت الست الرغايه بتقول ايه في عزومة العيلة؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.61,هو كانت الست الطيبة بتساعد مين في غرفة الطواري؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.62,هو كانت البنت النشيطة بتارض مين في جنينة الحي؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.64,هو كانت الست العجوزة مستبية مين في العيادة الزحمة؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.66,هو كان الصياد الشجاع بينقذ مين من نص البحر؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.71,هو كان المشجع المتحمس بيشجع مين في بطولة الرماية؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.72,هو كانت الأم الحنونة بتحضن مين في المدرسة الابتدائية؟,2,0,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.81,هو كان الولد الضايع بيضرب مين في المول الكبير؟,2,0,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.83,هو كانت العجوزة العصبية بتهزء مين في سوق القماش؟,2,0,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
