condition,sentence,trigger,trigger224,trigger225,trigger226,trigger227,trigger228,trigger229,trigger230,trigger231,taskQuestion,correctAnswer,word_trigger,trigger224w,trigger225w,trigger226w,trigger227w,trigger228w,trigger229w,trigger230w,trigger231w
in-situ.01,هو كانت الست المستعجلة نست ايه في البيت فوق؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.06,هو كانت المدرسة البشوشه غنت ايه في الطابور الصبح؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.08,هو كانت المحامية الجريئة بتعرض ايه في جلسة المحكمه؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.10,هو كان الممرض القلوق بيراجع ايه ابل النبطشية الجيه؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.11,هو كان المهندس المصاب شايل ايه ابل الحادثه الكبيرة؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.12,هو كان الجار الودود اخد ايه من الجران الجداد؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.13,هو كان المصور الطموح بيصور ايه عشان يطور الاستوديو؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.14,هو كان المذيع اللبق بيسأل أيه على الاذاعة الصباحية؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.15,هو كان الطالب الشاطر بيذاكر ايه في مكتبة الجامعة؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.16,هو كانت الست المستعجله بتشوف ايه في السوبرماركت الجديد؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.18,هو كانت الام المشغوله بطبخ ايه في المطبخ الخارجي؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.19,هو كان الطالب المشغول بيحل ايه في قاعة المدرسة؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.20,هو كان الولد الخايف سامع ايه في البيت المسكون؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.22,هو كانت المستشارة المتسامحة بتشرح ايه في أوضة الاجتماعات؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.25,هو كان الطالب الذكي بيحل ايه في قاعة الامتحان؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.02,هو كانت المذيعة اللطيفة بتكلم مين على الراديو الصبح؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.03,هو كانت الملكة العادله بتفضل مين من الوزرة الملكين؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.04,هو كانت المراسلة المهمة وصلت مين من سكان القصر؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.05,هو كانت الكوفايرة المتمرسة بتعتبر مين من الزباين المزعجين,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.07,هو كان المحاسب المشغول عين مين عشان يخفف الضغط؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.09,هو كان الجد الحنون بيحظن مين عشان يبطل عياط؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.17,هو كان الجراح الخبير بيعالج مين من الفريق الوطني؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.21,هو كان الحرامي المسجون سارئ مين من سكان الكمبوند؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.23,هو كانت البنت التعبانة بتنادي مين في مسجد المحطه؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.24,هو كان الشخص العيان مستني مين في المستشفى الصغيرة؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.33,هو كان الراجل القوي بيساعد مين في مكان الحادثة؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.34,هو كانت البنت الجعانة مستنية مين في المطعم الهندي؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.35,هو كان السواق المشتت خبط مين في الباركنج الزحمة؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.36,هو كان المدير القاسي بيطرد مين في اجتماع الشغل؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.37,هو كان الراجل الشبعان مستني مين عند كاشير المطعم؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.63,‏ايه اللي كان المدير الجديد عايزه في الاجتماع امبارح؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.65,ايه الي كانت الطالبة المجتهدة بتذاكره من المواد الصعب؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.67,ايه الي كان الولد الصغير كسبه في مسابقة الرسم؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.68,ايه الي كانت الوزيرة المرشحة بتقترحة في خطبها الاخير؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.69,ايه الي كانت الساحرة الشريرة بتخططله في الكتاب المشوق؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.70,ايه الي كانت الدكتورة الجامعية بتناقشة في المؤتمر العلمي؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.73,ايه الي كان العالم المعاصر درسه في جامعة الاسكندرية؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.74,ايه الي كانت الشيف المحبوبة طبخاه في البرنمج المباشر؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.75,ايه الي كان البقال العجوز بيبيعه في محلة الصغير؟,1,1,0,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
